frameTimes,LS,Nod,HShake,Laugh,Frown,Raised,Forward,Backward,Smile
0.0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0
0.51,0,0,0,0,0,0,0,0,0
0.52,0,0,0,0,0,0,0,0,0
0.53,0,0,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,0,0,0
0.56,0,0,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0
0.59,1,0,0,0,0,0,0,0,0
0.6,1,0,0,0,0,0,0,0,0
0.61,1,0,0,0,0,0,0,0,0
0.62,1,0,0,0,0,0,0,0,0
0.63,1,0,0,0,0,0,0,0,0
0.64,1,0,0,0,0,0,0,0,0
0.65,1,0,0,0,0,0,0,0,0
0.66,1,0,0,0,0,0,0,0,0
0.67,1,0,0,0,0,0,0,0,0
0.68,1,0,0,0,0,0,0,0,0
0.69,1,0,0,0,0,0,0,0,0
0.7,1,0,0,0,0,0,0,0,0
0.71,1,0,0,0,0,0,0,0,0
0.72,1,0,0,0,0,0,0,0,0
0.73,1,0,0,0,0,0,0,0,0
0.74,1,0,0,0,0,0,0,0,0
0.75,1,0,0,0,0,0,0,0,0
0.76,1,0,0,0,0,0,0,0,0
0.77,1,0,0,0,0,0,0,0,0
0.78,1,0,0,0,0,0,0,0,0
0.79,1,0,0,0,0,0,0,0,0
0.8,1,0,0,0,0,0,0,0,0
0.81,1,0,0,0,0,0,0,0,0
0.82,1,0,0,0,0,0,0,0,0
0.83,1,0,0,0,0,0,0,0,0
0.84,1,0,0,0,0,0,0,0,0
0.85,1,0,0,0,0,0,0,0,0
0.86,1,0,0,0,0,0,0,0,0
0.87,1,0,0,0,0,0,0,0,0
0.88,1,0,0,0,0,0,0,0,0
0.89,1,0,0,0,0,0,0,0,0
0.9,1,0,0,0,0,0,0,0,0
0.91,1,0,0,0,0,0,0,0,0
0.92,1,0,0,0,0,0,0,0,0
0.93,1,0,0,0,0,0,0,0,0
0.94,1,0,0,0,0,0,0,0,0
0.95,1,0,0,0,0,0,0,0,0
0.96,1,0,0,0,0,0,0,0,0
0.97,1,0,0,0,0,0,0,0,0
0.98,1,0,0,0,0,0,0,0,0
0.99,1,0,0,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0,0,0
1.01,1,0,0,0,0,0,0,0,0
1.02,1,0,0,0,0,0,0,0,0
1.03,1,0,0,0,0,0,0,0,0
1.04,1,0,0,0,0,0,0,0,0
1.05,1,0,0,0,0,0,0,0,0
1.06,1,0,0,0,0,0,0,0,0
1.07,1,0,0,0,0,0,0,0,0
1.08,1,0,0,0,0,0,0,0,0
1.09,1,0,0,0,0,0,0,0,0
1.1,1,0,0,0,0,0,0,0,0
1.11,1,0,0,0,0,0,0,0,0
1.12,1,0,0,0,0,0,0,0,0
1.13,1,0,0,0,0,0,0,0,0
1.14,1,0,0,0,0,0,0,0,0
1.15,1,0,0,0,0,0,0,0,0
